title,price,price_numeric,location,property_url
Only You Elgeyo Apartments,"Ksh28,000,000",28000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/only-you-elgeyo-apartments/
"Emerald Springs Apartment In Westlands, 1 & 2 Beds For Sale","Ksh9,100,000",9100000.0,"Westlands, Nairobi",https://realtors.co.ke/property/emerald-springs-apartment-in-westlands-1-2-beds-for-sale/
Elegant 3 Bed Apartment with En Suite for sale in Riverside,"Ksh40,300,000",40300000.0,"Riverside, Westlands",https://realtors.co.ke/property/elegant-3-bed-apartment-with-en-suite-in-riverside/
3 Bedroom Bungalow fo rent in Runda,"$1,500",,"Runda, Nairobi",https://realtors.co.ke/property/3-bedroom-bungalow-fo-rent-in-runda/
Venus Oak Residency Kileleshwa – 4 Bedroom Apartments + DSQ for Sale,"Ksh23,000,000",23000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/venus-oak-residency/
Modern Apartment For Sale In Kilimani,"Ksh10,500,000",10500000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/hayat-heights-apartment-for-sale-in-kilimani-nairobi/
2 Bedroom Aparment for sale in Westlands – Emerald Springs,"Ksh12,700,000",12700000.0,"Westlands, Nairobi",https://realtors.co.ke/property/2-bedroom-aparment-for-sale-in-westlands-emerald-springs/
Modern Studio Apartments for Sale in Westlands,"Ksh6,700,000",6700000.0,"Westlands, Nairobi",https://realtors.co.ke/property/luxury-studio-suite-apartments-for-sale-in-westlands-nairobi/
"Devine Suites | Luxurious Furnished 1 & 2-Bedroom Apartments for Sale in Riverside Drive, Nairobi","Ksh17,000,000",17000000.0,"Riverside, Nairobi",https://realtors.co.ke/property/devine-suites-luxurious-furnished-1-2-bedroom-apartments-for-sale-in-riverside-drive-nairobi/
Luxury 3-Bedroom Apartments for Sale in Parklands at Gazebo Apartments,"Ksh14,870,000",14870000.0,"Parklands, Nairobi",https://realtors.co.ke/property/luxury-3-bedroom-apartments-for-sale-in-parklands-at-gazebo-apartments/
Cozy Mini Two-Bedroom Apartment in Westlands,"Ksh10,950,000",10950000.0,Westlands,https://realtors.co.ke/property/cozy-mini-two-bedroom-apartment-in-westlands/
1-3 Bedroom Apartments for Sale,"Ksh4,800,000",4800000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/alina-ridge-apartment-1-to-3-bedroom-for-sale/
